group,set,method,scorer,r,cost,len,rouge1_P,rouge1_R,rouge2_P,rouge2_R,idxs
D0803,B,greedy1,hm,0.5,98,3,0.4263,0.4004,0.1622,0.1528,99:0:94
D0803,B,greedy1,R2,0.5,98,3,0.4263,0.4004,0.1622,0.1528,99:0:94
D0803,B,greedy1,am,0.6,101,4,0.4495,0.4397,0.1607,0.1571,99:0:93:106
D0803,B,greedy1,hm,0.6,98,3,0.4263,0.4004,0.1622,0.1528,99:0:94
D0803,B,greedy1,R2,0.6,98,3,0.4263,0.4004,0.1622,0.1528,99:0:94
D0803,A,greedy1,am,0,104,3,0.3954,0.3891,0.1237,0.1226,46:59:104
D0803,A,greedy1,hm,0,97,3,0.4402,0.4054,0.1593,0.1472,38:59:82
D0803,A,greedy1,R2,0,102,4,0.4453,0.4281,0.1789,0.1734,59:39:82:68
D0803,A,greedy1,am,0.1,97,3,0.4402,0.4054,0.1593,0.1472,38:59:82
D0803,A,greedy1,hm,0.1,102,4,0.4453,0.4281,0.1789,0.1734,39:59:82:68
D0803,A,greedy1,R2,0.1,102,4,0.4453,0.4281,0.1789,0.1734,39:59:82:68
D0803,A,greedy1,am,0.3,102,3,0.4349,0.4184,0.1421,0.1376,39:59:81
D0803,A,greedy1,hm,0.3,102,4,0.4453,0.4281,0.1789,0.1734,39:59:82:68
D0803,A,greedy1,R2,0.3,102,4,0.4453,0.4281,0.1789,0.1734,39:59:82:68
D0803,A,greedy1,am,0.4,98,4,0.4725,0.4311,0.1806,0.1661,39:59:126:68
D0803,A,greedy1,hm,0.4,102,4,0.4453,0.4281,0.1789,0.1734,39:59:68:82
D0803,A,greedy1,R2,0.4,91,4,0.4882,0.4174,0.1935,0.1673,68:82:59:126
D0803,A,greedy1,am,0.5,98,4,0.4725,0.4311,0.1806,0.1661,39:59:68:126
D0803,A,greedy1,hm,0.5,102,4,0.4453,0.4281,0.1789,0.1734,39:59:68:82
D0803,A,greedy1,R2,0.5,91,4,0.4882,0.4174,0.1935,0.1673,68:82:59:126
D0803,A,greedy1,am,0.6,98,4,0.4725,0.4311,0.1806,0.1661,39:59:68:126
D0803,A,greedy1,hm,0.6,91,4,0.4882,0.4174,0.1935,0.1673,68:82:59:126
D0803,A,greedy1,R2,0.6,91,4,0.4882,0.4174,0.1935,0.1673,68:82:126:59
D0802,B,greedy1,am,0,102,3,0.3634,0.3666,0.1458,0.1519,187:190:136
D0802,B,greedy1,hm,0,102,3,0.3634,0.3666,0.1458,0.1519,187:190:136
D0802,B,greedy1,R2,0,102,3,0.3634,0.3666,0.1458,0.1519,187:190:136
D0802,B,greedy1,am,0.1,102,3,0.3634,0.3666,0.1458,0.1519,187:190:136
D0802,B,greedy1,hm,0.1,102,3,0.3634,0.3666,0.1458,0.1519,187:190:136
D0802,B,greedy1,R2,0.1,102,3,0.3634,0.3666,0.1458,0.1519,187:190:136
D0802,B,greedy1,am,0.3,102,3,0.3634,0.3666,0.1458,0.1519,187:136:190
D0802,B,greedy1,hm,0.3,102,3,0.3634,0.3666,0.1458,0.1519,187:190:136
D0802,B,greedy1,R2,0.3,102,3,0.3634,0.3666,0.1458,0.1519,187:190:136
D0802,B,greedy1,am,0.4,102,3,0.3634,0.3666,0.1458,0.1519,187:136:190
D0802,B,greedy1,hm,0.4,102,3,0.3634,0.3666,0.1458,0.1519,187:136:190
D0802,B,greedy1,R2,0.4,102,3,0.3634,0.3666,0.1458,0.1519,187:136:190
D0802,B,greedy1,am,0.5,102,3,0.3634,0.3666,0.1458,0.1519,187:136:190
D0802,B,greedy1,hm,0.5,102,3,0.3634,0.3666,0.1458,0.1519,187:136:190
D0802,B,greedy1,R2,0.5,102,3,0.3634,0.3666,0.1458,0.1519,187:136:190
D0802,B,greedy1,am,0.6,99,4,0.3673,0.3736,0.1443,0.1516,187:136:72:193
D0802,B,greedy1,hm,0.6,99,4,0.3673,0.3736,0.1443,0.1516,187:136:72:193
D0802,B,greedy1,R2,0.6,30,1,0.4914,0.1483,0.2500,0.0767,187
D0801,A,greedy1,am,0,104,3,0.3376,0.3296,0.0469,0.0458,0:152:7
D0801,A,greedy1,hm,0,99,4,0.3859,0.3613,0.1346,0.1291,125:135:90:148
D0801,A,greedy1,R2,0,99,4,0.3859,0.3613,0.1346,0.1291,135:125:90:148
D0801,A,greedy1,am,0.1,104,3,0.3376,0.3296,0.0469,0.0458,0:152:7
D0801,A,greedy1,hm,0.1,99,5,0.4113,0.3896,0.1495,0.1443,135:125:90:98:112
D0801,A,greedy1,R2,0.1,99,5,0.4113,0.3896,0.1495,0.1443,135:125:90:98:112
D0801,A,greedy1,am,0.3,100,4,0.3898,0.3683,0.1114,0.1078,0:135:125:17
D0801,A,greedy1,hm,0.3,102,6,0.4316,0.4172,0.1516,0.1497,135:125:90:98:17:8
D0801,A,greedy1,R2,0.3,100,6,0.4122,0.3947,0.1532,0.1498,135:125:90:17:98:108
D0801,A,greedy1,am,0.4,104,6,0.4362,0.4340,0.1314,0.1339,135:125:90:159:17:108
D0801,A,greedy1,hm,0.4,98,6,0.4533,0.4187,0.1556,0.1464,135:125:90:17:112:8
D0801,A,greedy1,R2,0.4,100,6,0.4122,0.3947,0.1532,0.1498,135:125:90:17:98:108
D0801,A,greedy1,am,0.5,98,6,0.4533,0.4187,0.1556,0.1464,135:90:125:17:8:112
D0801,A,greedy1,hm,0.5,98,6,0.4533,0.4187,0.1556,0.1464,135:125:90:17:112:8
D0801,A,greedy1,R2,0.5,100,6,0.4122,0.3947,0.1532,0.1498,135:125:90:17:98:108
D0801,A,greedy1,am,0.6,98,6,0.4533,0.4187,0.1556,0.1464,135:90:125:17:8:112
D0801,A,greedy1,hm,0.6,96,6,0.4361,0.3991,0.1573,0.1466,135:125:90:17:112:108
D0801,A,greedy1,R2,0.6,72,4,0.4773,0.3209,0.1808,0.1237,135:125:90:17
D0809,A,greedy1,am,0,104,3,0.4343,0.4271,0.1327,0.1296,86:112:24
D0809,A,greedy1,hm,0,99,3,0.4665,0.4496,0.1615,0.1544,25:174:37
D0809,A,greedy1,R2,0,102,3,0.3965,0.3896,0.1403,0.1366,25:86:123
D0809,A,greedy1,am,0.1,101,3,0.4798,0.4716,0.1454,0.1422,25:174:67
D0809,A,greedy1,hm,0.1,99,3,0.4665,0.4496,0.1615,0.1544,25:174:37
D0809,A,greedy1,R2,0.1,102,3,0.3965,0.3896,0.1403,0.1366,25:86:123
D0809,A,greedy1,am,0.3,101,3,0.4798,0.4716,0.1454,0.1422,25:174:67
D0809,A,greedy1,hm,0.3,99,3,0.4665,0.4496,0.1615,0.1544,25:174:37
D0809,A,greedy1,R2,0.3,99,3,0.4665,0.4496,0.1615,0.1544,25:174:37
D0809,A,greedy1,am,0.4,101,3,0.4798,0.4716,0.1454,0.1422,25:174:67
D0809,A,greedy1,hm,0.4,99,3,0.4665,0.4496,0.1615,0.1544,25:174:37
D0809,A,greedy1,R2,0.4,99,3,0.4665,0.4496,0.1615,0.1544,25:174:37
D0809,A,greedy1,am,0.5,104,4,0.4709,0.4816,0.1495,0.1525,25:174:123:162
D0809,A,greedy1,hm,0.5,99,3,0.4665,0.4496,0.1615,0.1544,25:174:37
D0809,A,greedy1,R2,0.5,99,3,0.4665,0.4496,0.1615,0.1544,25:174:37
D0809,A,greedy1,am,0.6,104,4,0.4709,0.4816,0.1495,0.1525,25:174:123:162
D0809,A,greedy1,hm,0.6,89,3,0.4943,0.4322,0.1667,0.1446,25:174:123
D0809,A,greedy1,R2,0.6,99,3,0.4665,0.4496,0.1615,0.1544,25:174:37
D0806,A,greedy1,am,0,97,2,0.4375,0.4125,0.1319,0.1243,29:132
D0806,A,greedy1,hm,0,99,3,0.4441,0.4274,0.1720,0.1655,29:114:47
D0806,A,greedy1,R2,0,99,3,0.4441,0.4274,0.1720,0.1655,29:114:47
D0806,A,greedy1,am,0.1,97,2,0.4375,0.4125,0.1319,0.1243,29:132
D0806,A,greedy1,hm,0.1,99,3,0.4441,0.4274,0.1720,0.1655,29:114:47
D0806,A,greedy1,R2,0.1,98,3,0.4647,0.4374,0.1703,0.1610,114:132:47
D0806,A,greedy1,am,0.3,99,3,0.4441,0.4274,0.1720,0.1655,29:114:47
D0806,A,greedy1,hm,0.3,99,3,0.4441,0.4274,0.1720,0.1655,29:114:47
D0806,A,greedy1,R2,0.3,97,3,0.4973,0.4671,0.2005,0.1879,114:112:0
D0806,A,greedy1,am,0.4,99,3,0.4441,0.4274,0.1720,0.1655,29:114:47
D0806,A,greedy1,hm,0.4,97,3,0.4973,0.4671,0.2005,0.1879,112:114:0
D0806,A,greedy1,R2,0.4,97,3,0.4973,0.4671,0.2005,0.1879,112:114:0
D0806,A,greedy1,am,0.5,97,3,0.4973,0.4671,0.2033,0.1905,112:0:114
D0806,A,greedy1,hm,0.5,97,3,0.4973,0.4671,0.2005,0.1879,112:114:0
D0806,A,greedy1,R2,0.5,97,3,0.4973,0.4671,0.2005,0.1879,112:114:0
D0806,A,greedy1,am,0.6,99,5,0.4844,0.4756,0.2026,0.1984,112:7:47:114:115
D0806,A,greedy1,hm,0.6,85,4,0.5000,0.4197,0.2222,0.1861,112:7:114:47
D0806,A,greedy1,R2,0.6,85,4,0.5000,0.4197,0.2222,0.1861,112:114:7:47
D0807,B,greedy1,am,0,97,2,0.4263,0.4015,0.1037,0.0978,109:2
D0807,B,greedy1,hm,0,104,4,0.4087,0.4207,0.1311,0.1354,109:118:135:73
D0807,B,greedy1,R2,0,103,4,0.4078,0.4158,0.1324,0.1354,109:118:135:164
D0807,B,greedy1,am,0.1,97,2,0.4263,0.4015,0.1037,0.0978,109:2
D0807,B,greedy1,hm,0.1,104,4,0.4087,0.4207,0.1311,0.1354,109:118:135:73
D0807,B,greedy1,R2,0.1,104,4,0.4207,0.4327,0.1432,0.1477,109:157:135:142
D0807,B,greedy1,am,0.3,104,4,0.4356,0.4355,0.1300,0.1306,109:33:135:73
D0807,B,greedy1,hm,0.3,104,4,0.4207,0.4327,0.1432,0.1477,109:157:135:142
D0807,B,greedy1,R2,0.3,98,3,0.3868,0.3638,0.1489,0.1407,106:34:46
D0807,B,greedy1,am,0.4,95,3,0.4592,0.4183,0.1401,0.1281,109:33:135
D0807,B,greedy1,hm,0.4,104,4,0.4207,0.4327,0.1432,0.1477,109:157:135:142
D0807,B,greedy1,R2,0.4,103,3,0.3627,0.3665,0.1460,0.1482,106:157:118
D0807,B,greedy1,am,0.5,95,3,0.4592,0.4183,0.1401,0.1281,109:33:135
D0807,B,greedy1,hm,0.5,100,4,0.4311,0.4179,0.1649,0.1604,106:157:46:135
D0807,B,greedy1,R2,0.5,100,4,0.4311,0.4179,0.1649,0.1604,106:157:135:46
D0807,B,greedy1,am,0.6,95,3,0.4592,0.4183,0.1401,0.1281,109:33:135
D0807,B,greedy1,hm,0.6,100,4,0.4311,0.4179,0.1649,0.1604,157:106:135:46
D0807,B,greedy1,R2,0.6,100,4,0.4311,0.4179,0.1649,0.1604,106:157:135:46
D0814,B,greedy1,am,0,101,3,0.4675,0.5452,0.2197,0.2610,84:31:87
D0814,B,greedy1,hm,0,101,3,0.4675,0.5452,0.2197,0.2610,84:31:87
D0814,B,greedy1,R2,0,104,4,0.4952,0.6029,0.2670,0.3328,84:87:45:88
D0814,B,greedy1,am,0.1,101,3,0.4675,0.5452,0.2197,0.2610,84:31:87
D0814,B,greedy1,hm,0.1,104,4,0.4952,0.6029,0.2670,0.3328,84:87:45:88
D0814,B,greedy1,R2,0.1,104,4,0.4952,0.6029,0.2670,0.3328,84:87:45:88
D0814,B,greedy1,am,0.3,104,4,0.4952,0.6029,0.2670,0.3328,84:87:45:88
D0814,B,greedy1,hm,0.3,104,4,0.4952,0.6029,0.2670,0.3328,84:87:88:45
D0814,B,greedy1,R2,0.3,104,4,0.4952,0.6029,0.2694,0.3360,87:84:88:45
D0814,B,greedy1,am,0.4,104,4,0.4952,0.6029,0.2670,0.3328,84:87:88:45
D0814,B,greedy1,hm,0.4,104,4,0.4952,0.6029,0.2694,0.3360,87:84:88:45
D0814,B,greedy1,R2,0.4,104,4,0.4952,0.6029,0.2670,0.3328,87:88:84:45
D0814,B,greedy1,am,0.5,104,4,0.4952,0.6029,0.2694,0.3360,87:84:88:45
D0814,B,greedy1,hm,0.5,104,4,0.4952,0.6029,0.2670,0.3328,87:88:84:45
D0814,B,greedy1,R2,0.5,104,4,0.4952,0.6029,0.2670,0.3328,87:88:45:84
D0814,B,greedy1,am,0.6,104,4,0.4952,0.6029,0.2670,0.3328,87:88:45:84
D0814,B,greedy1,hm,0.6,104,4,0.4952,0.6029,0.2670,0.3328,87:88:45:84
D0814,B,greedy1,R2,0.6,104,4,0.4952,0.6029,0.2670,0.3328,87:88:45:84
D0816,B,greedy1,am,0,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,hm,0,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,R2,0,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,am,0.1,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,hm,0.1,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,R2,0.1,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,am,0.3,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,hm,0.3,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,R2,0.3,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,am,0.4,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,hm,0.4,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,R2,0.4,103,4,0.5638,0.5344,0.3226,0.3088,50:61:64:49
D0816,B,greedy1,am,0.5,97,4,0.5714,0.5226,0.3250,0.2981,50:61:59:49
D0816,B,greedy1,hm,0.5,97,4,0.5714,0.5226,0.3250,0.2981,50:61:59:49
D0816,B,greedy1,R2,0.5,96,3,0.5611,0.5107,0.3315,0.3041,50:64:74
D0816,B,greedy1,am,0.6,96,3,0.5611,0.5107,0.3315,0.3041,50:64:74
D0816,B,greedy1,hm,0.6,96,3,0.5611,0.5107,0.3315,0.3041,50:64:74
D0816,B,greedy1,R2,0.6,96,3,0.5611,0.5107,0.3315,0.3041,50:64:74
D0804,A,greedy1,am,0,104,2,0.3535,0.3449,0.0689,0.0669,76:68
D0804,A,greedy1,hm,0,98,3,0.3832,0.3481,0.1264,0.1152,68:243:5
D0804,A,greedy1,R2,0,98,3,0.3832,0.3481,0.1264,0.1152,68:243:5
D0804,A,greedy1,am,0.1,104,2,0.3535,0.3449,0.0689,0.0669,76:68
D0804,A,greedy1,hm,0.1,98,3,0.3832,0.3481,0.1264,0.1152,68:243:5
D0804,A,greedy1,R2,0.1,98,3,0.3832,0.3481,0.1264,0.1152,68:243:5
D0804,A,greedy1,am,0.3,99,4,0.4381,0.4196,0.1068,0.1025,76:50:243:242
D0804,A,greedy1,hm,0.3,97,5,0.4574,0.4253,0.1613,0.1507,50:243:5:66:82
D0804,A,greedy1,R2,0.3,104,5,0.4250,0.4201,0.1566,0.1554,50:243:5:66:123
D0804,A,greedy1,am,0.4,99,4,0.4381,0.4196,0.1068,0.1025,76:50:243:242
D0804,A,greedy1,hm,0.4,97,5,0.4574,0.4253,0.1613,0.1507,50:243:5:66:82
D0804,A,greedy1,R2,0.4,104,5,0.4250,0.4201,0.1566,0.1554,243:50:5:66:123
D0804,A,greedy1,am,0.5,102,4,0.4844,0.4591,0.1395,0.1324,50:243:256:255
D0804,A,greedy1,hm,0.5,97,5,0.4574,0.4253,0.1613,0.1507,50:243:5:66:82
D0804,A,greedy1,R2,0.5,86,4,0.4669,0.3833,0.1738,0.1431,243:50:5:66
D0804,A,greedy1,am,0.6,100,5,0.4896,0.4644,0.1316,0.1253,50:243:256:77:217
D0804,A,greedy1,hm,0.6,86,4,0.4669,0.3833,0.1738,0.1431,243:50:5:66
D0804,A,greedy1,R2,0.6,86,4,0.4669,0.3833,0.1738,0.1431,243:50:5:66
D0814,A,greedy1,am,0,101,3,0.4922,0.4854,0.1684,0.1657,0:9:32
D0814,A,greedy1,hm,0,104,3,0.4621,0.4693,0.1658,0.1682,0:9:2
D0814,A,greedy1,R2,0,104,3,0.4621,0.4693,0.1658,0.1682,0:9:2
D0814,A,greedy1,am,0.1,101,3,0.4922,0.4854,0.1684,0.1657,0:9:32
D0814,A,greedy1,hm,0.1,101,3,0.4922,0.4854,0.1684,0.1657,0:9:32
D0814,A,greedy1,R2,0.1,104,3,0.4621,0.4693,0.1658,0.1682,0:9:2
D0814,A,greedy1,am,0.3,101,3,0.4922,0.4854,0.1684,0.1657,0:9:32
D0814,A,greedy1,hm,0.3,101,3,0.4922,0.4854,0.1684,0.1657,0:9:32
D0814,A,greedy1,R2,0.3,104,3,0.4621,0.4693,0.1658,0.1682,0:9:2
D0814,A,greedy1,am,0.4,101,3,0.4922,0.4854,0.1684,0.1657,0:9:32
D0814,A,greedy1,hm,0.4,92,4,0.5000,0.4588,0.1960,0.1801,0:72:17:97
D0814,A,greedy1,R2,0.4,92,4,0.5000,0.4588,0.1960,0.1801,0:72:17:97
D0814,A,greedy1,am,0.5,91,5,0.5139,0.4764,0.1882,0.1740,0:72:97:98:36
D0814,A,greedy1,hm,0.5,92,4,0.5000,0.4588,0.1960,0.1801,0:72:17:97
D0814,A,greedy1,R2,0.5,92,4,0.5000,0.4588,0.1960,0.1801,0:72:17:97
D0814,A,greedy1,am,0.6,75,4,0.5642,0.4305,0.1986,0.1507,0:72:97:36
D0814,A,greedy1,hm,0.6,78,4,0.5422,0.4300,0.2072,0.1636,0:72:97:98
D0814,A,greedy1,R2,0.6,92,4,0.5000,0.4588,0.1960,0.1801,0:72:17:97
D0808,A,greedy1,am,0,101,3,0.4227,0.4146,0.1510,0.1498,51:170:3
D0808,A,greedy1,hm,0,101,3,0.4227,0.4146,0.1510,0.1498,51:170:3
D0808,A,greedy1,R2,0,101,3,0.4227,0.4146,0.1510,0.1498,51:3:170
D0808,A,greedy1,am,0.1,101,3,0.4227,0.4146,0.1510,0.1498,51:170:3
D0808,A,greedy1,hm,0.1,101,3,0.4227,0.4146,0.1510,0.1498,51:3:170
D0808,A,greedy1,R2,0.1,101,3,0.4227,0.4146,0.1510,0.1498,51:3:170
D0808,A,greedy1,am,0.3,101,3,0.4227,0.4146,0.1510,0.1498,51:170:3
D0808,A,greedy1,hm,0.3,101,3,0.4227,0.4146,0.1510,0.1498,51:3:170
D0808,A,greedy1,R2,0.3,97,4,0.4409,0.4135,0.1766,0.1674,51:3:156:48
D0808,A,greedy1,am,0.4,101,3,0.4227,0.4146,0.1510,0.1498,51:170:3
D0808,A,greedy1,hm,0.4,104,5,0.4250,0.4293,0.1692,0.1730,51:3:156:174:68
D0808,A,greedy1,R2,0.4,97,4,0.4409,0.4135,0.1766,0.1674,51:3:156:48
D0808,A,greedy1,am,0.5,101,3,0.4227,0.4146,0.1510,0.1498,51:170:3
D0808,A,greedy1,hm,0.5,95,4,0.4505,0.4143,0.1778,0.1655,51:3:156:174
D0808,A,greedy1,R2,0.5,97,4,0.4409,0.4135,0.1766,0.1674,48:3:156:51
D0808,A,greedy1,am,0.6,91,4,0.4655,0.4085,0.1802,0.1592,51:3:174:48
D0808,A,greedy1,hm,0.6,79,5,0.4675,0.3639,0.2007,0.1572,48:3:156:174:83
D0808,A,greedy1,R2,0.6,79,5,0.4675,0.3639,0.2007,0.1572,48:3:156:174:83
D0808,B,greedy1,am,0,103,3,0.3480,0.3722,0.1312,0.1429,53:32:59
D0808,B,greedy1,hm,0,100,4,0.3750,0.3932,0.1616,0.1731,53:32:55:107
D0808,B,greedy1,R2,0,100,4,0.3750,0.3932,0.1616,0.1731,53:55:32:107
D0808,B,greedy1,am,0.1,100,4,0.3750,0.3932,0.1616,0.1731,53:32:55:107
D0808,B,greedy1,hm,0.1,100,4,0.3750,0.3932,0.1616,0.1731,53:32:55:107
D0808,B,greedy1,R2,0.1,100,4,0.3750,0.3932,0.1616,0.1731,53:55:32:107
D0808,B,greedy1,am,0.3,98,4,0.4056,0.4164,0.1624,0.1686,53:55:19:107
D0808,B,greedy1,hm,0.3,97,4,0.3906,0.3893,0.1737,0.1743,53:55:107:70
D0808,B,greedy1,R2,0.3,97,4,0.3906,0.3893,0.1737,0.1743,53:55:107:70
D0808,B,greedy1,am,0.4,98,4,0.4056,0.4164,0.1624,0.1686,53:55:19:107
D0808,B,greedy1,hm,0.4,97,4,0.3906,0.3893,0.1737,0.1743,53:55:107:70
D0808,B,greedy1,R2,0.4,97,4,0.3906,0.3893,0.1737,0.1743,53:55:107:70
D0808,B,greedy1,am,0.5,98,4,0.4056,0.4164,0.1624,0.1686,53:55:19:107
D0808,B,greedy1,hm,0.5,59,3,0.4746,0.2925,0.2241,0.1391,53:55:107
D0808,B,greedy1,R2,0.5,59,3,0.4746,0.2925,0.2241,0.1391,53:55:107
D0808,B,greedy1,am,0.6,78,4,0.4487,0.3643,0.1851,0.1519,53:55:107:141
D0808,B,greedy1,hm,0.6,59,3,0.4746,0.2925,0.2241,0.1391,53:55:107
D0808,B,greedy1,R2,0.6,59,3,0.4746,0.2925,0.2241,0.1391,53:107:55
D0809,B,greedy1,am,0,103,3,0.4413,0.4430,0.1701,0.1753,0:127:128
D0809,B,greedy1,hm,0,103,3,0.4413,0.4430,0.1701,0.1753,0:127:128
D0809,B,greedy1,R2,0,103,3,0.4413,0.4430,0.1701,0.1753,0:127:128
D0809,B,greedy1,am,0.1,103,3,0.4413,0.4430,0.1701,0.1753,0:127:128
D0809,B,greedy1,hm,0.1,103,3,0.4413,0.4430,0.1701,0.1753,0:127:128
D0809,B,greedy1,R2,0.1,103,3,0.4413,0.4430,0.1701,0.1753,0:127:128
D0809,B,greedy1,am,0.3,103,3,0.4413,0.4430,0.1701,0.1753,0:128:127
D0809,B,greedy1,hm,0.3,103,3,0.4413,0.4430,0.1701,0.1753,0:128:127
D0809,B,greedy1,R2,0.3,103,3,0.4413,0.4430,0.1701,0.1753,0:127:128
D0809,B,greedy1,am,0.4,103,3,0.4413,0.4430,0.1701,0.1753,0:128:127
D0809,B,greedy1,hm,0.4,103,3,0.4413,0.4430,0.1701,0.1753,0:128:127
D0809,B,greedy1,R2,0.4,103,3,0.4413,0.4430,0.1701,0.1753,0:128:127
D0809,B,greedy1,am,0.5,101,4,0.4520,0.4575,0.1709,0.1758,0:128:142:205
D0809,B,greedy1,hm,0.5,101,4,0.4520,0.4575,0.1709,0.1758,0:128:142:205
D0809,B,greedy1,R2,0.5,101,4,0.4520,0.4575,0.1709,0.1758,0:128:142:205
D0809,B,greedy1,am,0.6,74,3,0.5208,0.3844,0.2007,0.1504,0:142:128
D0809,B,greedy1,hm,0.6,74,3,0.5208,0.3844,0.2007,0.1504,0:128:142
D0809,B,greedy1,R2,0.6,74,3,0.5208,0.3844,0.2007,0.1504,0:128:142
D0812,B,greedy1,am,0,98,3,0.4711,0.4475,0.1888,0.1782,104:40:119
D0812,B,greedy1,hm,0,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,R2,0,102,4,0.4431,0.4480,0.2000,0.2015,104:42:119:74
D0812,B,greedy1,am,0.1,98,3,0.4711,0.4475,0.1888,0.1782,104:40:119
D0812,B,greedy1,hm,0.1,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,R2,0.1,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,am,0.3,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,hm,0.3,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,R2,0.3,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,am,0.4,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,hm,0.4,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,R2,0.4,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,am,0.5,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,hm,0.5,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,R2,0.5,102,4,0.4431,0.4480,0.2025,0.2040,104:119:42:74
D0812,B,greedy1,am,0.6,94,3,0.4597,0.4279,0.2092,0.1937,104:119:42
