position,doc_sents,sent_id,group,set,doc_id,num_words,R1.R,R1.P,R2.R,R2.P,nouns,prpns,target,nf,lexrank,tfisf,btfisf,scores
4,17,30,D0901,B,AFP_ENG_20050411.0174,33,0.1033,0.35,0.00495,0.01724,2,8,0,(),0.825615,0.553047,0.610165,0.951284
6,17,32,D0901,B,AFP_ENG_20050411.0174,35,0.1253,0.375,0.0197,0.06061,5,3,0,(),1.50695,0.813542,1.00433,1.00366
7,17,33,D0901,B,AFP_ENG_20050411.0174,21,0.08854,0.4286,0.01245,0.0625,5,1,0,(),0.98693,-0.370359,-0.00667782,1.0109
8,17,34,D0901,B,AFP_ENG_20050411.0174,12,0.04174,0.3864,0,0,3,2,0,(),1.11985,-0.690218,-0.461537,1.03947
9,17,35,D0901,B,AFP_ENG_20050411.0174,21,0.08099,0.3929,0.01235,0.0625,4,4,0,(),1.34686,-0.0698978,0.362053,1.05069
10,17,36,D0901,B,AFP_ENG_20050411.0174,31,0.1182,0.3871,0.01748,0.05833,7,2,0,(),1.03774,0.0738336,0.40686,0.970932
11,17,37,D0901,B,AFP_ENG_20050411.0174,26,0.09339,0.3654,0.01745,0.07,6,3,0,(),1.94783,-0.083526,1.09661,1.10745
12,17,38,D0901,B,AFP_ENG_20050411.0174,19,0.05155,0.2917,0.002525,0.01471,6,2,0,(),1.54613,-0.539619,-0.171158,1.05993
13,17,39,D0901,B,AFP_ENG_20050411.0174,23,0.09099,0.4205,0.002475,0.0119,3,5,0,(),1.4491,0.271696,0.502664,1.04201
14,17,40,D0901,B,AFP_ENG_20050411.0174,37,0.09344,0.2639,0.007476,0.02143,9,1,0,(),0.758504,0.569282,1.00094,0.927343
15,17,41,D0901,B,AFP_ENG_20050411.0174,34,0.1647,0.4926,0.01245,0.03788,6,5,0,(),1.29744,0.78072,1.28644,0.993686
16,17,42,D0901,B,AFP_ENG_20050411.0174,31,0.1402,0.4597,0.01998,0.06667,5,7,0,(),1.29788,0.531888,1.29274,1.01363
0,11,43,D0901,B,XIN_ENG_20050418.0033,17,0.06385,0.3824,0.007401,0.04688,3,6,0,(),1.12718,-0.042358,1.67715,1.17621
1,11,44,D0901,B,XIN_ENG_20050418.0033,28,0.09077,0.3558,0.02478,0.1,4,9,0,(),1.70514,0.320297,0.996764,1.12787
2,11,45,D0901,B,XIN_ENG_20050418.0033,21,0.05897,0.3,0.005001,0.02632,4,3,0,(),1.48097,-0.317151,-0.194385,1.09578
3,11,46,D0901,B,XIN_ENG_20050418.0033,17,0.04424,0.2812,0,0,3,2,0,(),0.414334,-0.839954,-0.910482,0.943197
4,11,47,D0901,B,XIN_ENG_20050418.0033,19,0.05152,0.2763,0,0,1,2,0,(),0.728469,-0.87757,-0.739134,0.978806
5,11,48,D0901,B,XIN_ENG_20050418.0033,16,0.08358,0.5312,0.01488,0.1,4,1,0,(),1.61721,-0.929119,-0.655967,1.05608
6,11,49,D0901,B,XIN_ENG_20050418.0033,30,0.1154,0.4052,0.01243,0.04464,4,5,0,(),1.79588,-0.24655,0.180979,1.03642
7,11,50,D0901,B,XIN_ENG_20050418.0033,22,0.09584,0.4643,0.005001,0.025,3,1,0,(),1.24785,-0.747586,-0.284121,1.01572
8,11,51,D0901,B,XIN_ENG_20050418.0033,36,0.113,0.3382,0.02233,0.06818,6,3,0,(),1.13895,0.487759,1.05345,0.967818
9,11,52,D0901,B,XIN_ENG_20050418.0033,25,0.07861,0.32,0.007476,0.03125,5,2,0,(),1.17651,0.107421,0.439624,1.00596
10,11,53,D0901,B,XIN_ENG_20050418.0033,33,0.08354,0.2742,0.01245,0.04167,4,5,0,(),0.800714,0.120971,0.62053,0.940574
0,11,54,D0901,B,AFP_ENG_20050428.0315,33,0.1378,0.4375,0.02748,0.08871,10,3,0,(),1.67221,0.981354,3.47558,1.20031
1,11,55,D0901,B,AFP_ENG_20050428.0315,20,0.05667,0.3194,0.007526,0.04412,5,2,0,(),0.432505,-0.151959,-0.0780885,1.01585
2,11,56,D0901,B,AFP_ENG_20050428.0315,26,0.06405,0.26,0.005051,0.02083,5,1,0,(),0.225731,-0.318985,-0.349506,0.956571
3,11,57,D0901,B,AFP_ENG_20050428.0315,24,0.07125,0.3152,0.002451,0.01136,5,2,0,(),0.894168,-0.159433,-0.276806,0.976451
4,11,58,D0901,B,AFP_ENG_20050428.0315,31,0.1351,0.4583,0.02976,0.1034,8,9,0,(),1.35573,1.08036,2.56276,1.07813
5,11,59,D0901,B,AFP_ENG_20050428.0315,21,0.09065,0.4405,0.02463,0.125,5,2,0,(),1.09673,-0.382403,0.350485,1.03651
6,11,60,D0901,B,AFP_ENG_20050428.0315,22,0.06875,0.3333,0.005001,0.025,9,1,0,(),0.121463,-0.450671,-0.71566,0.909575
7,11,61,D0901,B,AFP_ENG_20050428.0315,54,0.09344,0.1979,0.007476,0.01596,13,8,0,(),0.532385,1.53222,1.6484,0.849744
8,11,62,D0901,B,AFP_ENG_20050428.0315,24,0.0615,0.2604,0.005001,0.02174,7,1,0,(),0.27644,0.201278,0.26075,0.933002
9,11,63,D0901,B,AFP_ENG_20050428.0315,16,0.06647,0.4219,0,0,4,0,0,(),0.628338,-0.485289,-0.222529,0.99177
10,11,64,D0901,B,AFP_ENG_20050428.0315,19,0.07861,0.4211,0.007476,0.04167,5,2,0,(),1.16581,-0.578378,-0.221556,1.01959
0,16,65,D0901,B,AFP_ENG_20050616.0254,41,0.177,0.45,0.04488,0.1154,7,6,0,(),1.69482,1.66776,4.68143,1.19766
1,16,66,D0901,B,AFP_ENG_20050616.0254,51,0.1599,0.3533,0.03231,0.07222,11,11,0,(),2.228,2.46651,3.50269,1.11968
2,16,67,D0901,B,AFP_ENG_20050616.0254,28,0.1057,0.4135,0.007401,0.03,7,4,0,(),1.23558,0.228503,0.067949,1.04301
3,16,68,D0901,B,AFP_ENG_20050616.0254,32,0.1031,0.3621,0.0173,0.0625,5,7,0,(),1.32413,0.622499,1.15717,1.01971
4,16,69,D0901,B,AFP_ENG_20050616.0254,36,0.1302,0.3786,0.01738,0.05147,4,3,0,(),1.0955,0.614847,1.10263,0.973968
5,16,70,D0901,B,AFP_ENG_20050616.0254,28,0.1547,0.5833,0.04716,0.1827,3,5,0,(),1.97358,0.334697,1.07857,1.09679
6,16,71,D0901,B,AFP_ENG_20050616.0254,25,0.07871,0.3333,0.002525,0.01087,5,1,0,(),1.04984,-0.2741,0.499984,1.01547
7,16,72,D0901,B,AFP_ENG_20050616.0254,49,0.2066,0.4468,0.03213,0.07065,10,7,0,(),2.03825,1.43438,2.27268,1.01961
8,16,73,D0901,B,AFP_ENG_20050616.0254,21,0.06885,0.35,0.004926,0.02632,4,2,0,(),0.540739,-0.748229,-0.54312,0.956885
9,16,74,D0901,B,AFP_ENG_20050616.0254,23,0.1156,0.5109,0.02245,0.1023,6,3,0,(),1.89842,-0.0167381,1.0166,1.11758
10,16,75,D0901,B,AFP_ENG_20050616.0254,16,0.06385,0.4333,0.002475,0.01786,1,4,0,(),1.62201,-0.434106,-0.315781,1.07483
11,16,76,D0901,B,AFP_ENG_20050616.0254,45,0.1476,0.375,0.01993,0.05128,10,11,0,(),1.47453,2.29184,2.87483,0.999154
12,16,77,D0901,B,AFP_ENG_20050616.0254,16,0.04665,0.3167,0.007401,0.05357,2,3,0,(),0.576659,-0.52951,-0.373939,0.983017
13,16,78,D0901,B,AFP_ENG_20050616.0254,37,0.1179,0.3243,0.01238,0.03472,8,6,0,(),1.10287,0.549397,1.22969,0.96681
14,16,79,D0901,B,AFP_ENG_20050616.0254,19,0.04189,0.2361,0.002475,0.01471,4,1,0,(),1.28233,-0.793146,-0.695052,1.014
15,16,80,D0901,B,AFP_ENG_20050616.0254,8,0.01963,0.25,0,0,2,0,0,(),0.199481,-1.26749,-1.01976,0.958195
0,13,81,D0901,B,APW_ENG_20050810.0818,22,0.1349,0.625,0.04944,0.2381,7,2,1,(),1.23913,-0.242919,1.32481,1.14348
1,13,82,D0901,B,APW_ENG_20050810.0818,38,0.1402,0.375,0.01005,0.02703,12,4,0,(),0.502331,1.74063,1.764,0.976177
2,13,83,D0901,B,APW_ENG_20050810.0818,24,0.06628,0.2812,0.007476,0.03261,7,0,0,(),0.573268,-0.220542,-0.0935764,1.00428
3,13,84,D0901,B,APW_ENG_20050810.0818,19,0.05165,0.2763,0,0,6,0,0,(),0.226031,0.158584,-0.360008,0.924805
4,13,85,D0901,B,APW_ENG_20050810.0818,21,0.07113,0.3625,0.007377,0.03947,7,0,0,(),0.43089,-0.242048,0.0773874,0.969285
5,13,86,D0901,B,APW_ENG_20050810.0818,35,0.1375,0.4,0.01225,0.03676,6,1,0,(),0.97536,0.0920372,0.691915,0.959363
6,13,87,D0901,B,APW_ENG_20050810.0818,22,0.09837,0.4545,0.007476,0.03571,7,1,0,(),0.38016,-0.324341,-0.142337,0.949992
7,13,88,D0901,B,APW_ENG_20050810.0818,15,0.04167,0.2833,0,0,6,0,0,(),0.427297,-0.513641,-0.419801,0.978311
8,13,89,D0901,B,APW_ENG_20050810.0818,13,0.0688,0.5385,0.02728,0.2292,4,2,0,(),1.97367,-0.792804,-0.0920495,1.14402
9,13,90,D0901,B,APW_ENG_20050810.0818,32,0.08589,0.2917,0.01735,0.06034,5,6,0,(),0.484239,0.219692,0.00665049,0.888812
10,13,91,D0901,B,APW_ENG_20050810.0818,25,0.06885,0.2692,0.005001,0.02,7,0,0,(),0.255524,-0.857803,-0.983751,0.89554
11,13,92,D0901,B,APW_ENG_20050810.0818,23,0.0614,0.2717,0.01735,0.07955,5,2,0,(),1.4188,-0.192824,-0.126766,1.01861
12,13,93,D0901,B,APW_ENG_20050810.0818,25,0.06147,0.2604,0.005001,0.02174,6,1,0,(),1.36181,-0.0329089,0.653666,1.01392
0,25,94,D0901,B,APW_ENG_20050901.0167,33,0.1548,0.4922,0.06449,0.2097,8,8,1,(),2.36891,1.19096,3.84381,1.29186
1,25,95,D0901,B,APW_ENG_20050901.0167,36,0.1376,0.4375,0.0348,0.1129,6,9,0,(),1.37384,0.90039,1.93812,1.0834
2,25,96,D0901,B,APW_ENG_20050901.0167,17,0.1006,0.6029,0.04206,0.2656,4,2,1,(),1.85712,-0.660202,-0.135014,1.16909
3,25,97,D0901,B,APW_ENG_20050901.0167,25,0.07613,0.3523,0,0,3,3,0,(),1.41596,-0.414485,0.036209,1.01934
4,25,98,D0901,B,APW_ENG_20050901.0167,31,0.1228,0.4032,0.01985,0.06667,3,12,0,(),1.00987,0.893544,1.06221,0.991375
5,25,99,D0901,B,APW_ENG_20050901.0167,51,0.1698,0.352,0.03731,0.07812,10,4,0,(),1.78275,1.51652,2.01277,0.982582
6,25,100,D0901,B,APW_ENG_20050901.0167,35,0.1474,0.4688,0.03211,0.1048,6,8,0,(),1.88414,1.05463,1.46699,1.05953
7,25,101,D0901,B,APW_ENG_20050901.0167,24,0.1155,0.5341,0.009951,0.04762,1,4,0,(),1.54779,-0.650517,0.116526,1.05624
8,25,102,D0901,B,APW_ENG_20050901.0167,20,0.1057,0.5375,0.02243,0.1184,1,5,0,(),1.46671,-0.219773,0.445883,1.07737
10,25,104,D0901,B,APW_ENG_20050901.0167,24,0.04912,0.2273,0.002475,0.0119,4,1,0,(),1.02316,-0.800612,-0.735453,0.975464
11,25,105,D0901,B,APW_ENG_20050901.0167,14,0.03694,0.2885,0,0,3,1,0,(),1.23814,-1.08212,-0.859045,1.02759
12,25,106,D0901,B,APW_ENG_20050901.0167,21,0.03932,0.2,0.002525,0.01316,4,8,0,(),0.684276,0.0818815,-0.244523,0.970181
13,25,107,D0901,B,APW_ENG_20050901.0167,30,0.07621,0.2672,0.004976,0.01786,7,0,0,(),0.320345,-0.135309,-0.670038,0.88183
14,25,108,D0901,B,APW_ENG_20050901.0167,39,0.1179,0.3333,0.0174,0.05,8,6,0,(),0.741271,1.2629,1.26133,0.924817
15,25,109,D0901,B,APW_ENG_20050901.0167,14,0.05157,0.4038,0.01238,0.1042,5,1,0,(),0.449541,-1.02253,-0.929081,0.972165
16,25,110,D0901,B,APW_ENG_20050901.0167,28,0.1031,0.4038,0.009901,0.04,6,1,0,(),0.693304,-0.0682413,0.0692001,0.944753
17,25,111,D0901,B,APW_ENG_20050901.0167,19,0.02218,0.125,0,0,2,2,0,(),0.410652,-0.855924,-1.09202,0.931847
18,25,112,D0901,B,APW_ENG_20050901.0167,45,0.1008,0.244,0.004976,0.0122,6,9,0,(),1.09229,2.06206,1.57636,0.917375
19,25,113,D0901,B,APW_ENG_20050901.0167,11,0.05155,0.4773,0.002451,0.025,3,0,0,(),0.304749,-1.37947,-1.25853,0.948289
20,25,114,D0901,B,APW_ENG_20050901.0167,28,0.06628,0.2812,0.002451,0.01087,5,4,0,(),0.45483,-0.150941,-0.399043,0.906455
21,25,115,D0901,B,APW_ENG_20050901.0167,26,0.09824,0.3846,0.01988,0.08,4,5,0,(),1.89025,0.0781862,0.389704,1.06188
22,25,116,D0901,B,APW_ENG_20050901.0167,24,0.08356,0.3696,0.007401,0.03409,5,2,0,(),1.17073,-0.538639,-0.2241,0.994799
23,25,117,D0901,B,APW_ENG_20050901.0167,15,0.02216,0.1731,0,0,3,0,0,(),0.595415,-1.46355,-1.31512,0.946308
24,25,118,D0901,B,APW_ENG_20050901.0167,12,0.03441,0.35,0,0,3,2,0,(),0.72976,-0.97857,-0.847949,0.998345
0,30,119,D0901,B,APW_ENG_20050916.0033,23,0.08354,0.3864,0.009877,0.04762,5,3,0,(),1.39662,0.145887,2.00785,1.17952
1,30,120,D0901,B,APW_ENG_20050916.0033,49,0.1696,0.367,0.02485,0.05435,14,2,0,(),1.66071,1.80316,2.29107,1.03852
2,30,121,D0901,B,APW_ENG_20050916.0033,32,0.09104,0.3083,0.002475,0.008621,5,3,0,(),1.41445,0.309216,0.552456,1.05563
3,30,122,D0901,B,APW_ENG_20050916.0033,32,0.1573,0.5,0.03981,0.129,3,12,1,(),1.77232,1.13671,2.11217,1.09712
4,30,123,D0901,B,APW_ENG_20050916.0033,31,0.08351,0.2931,0.002475,0.008929,7,6,0,(),0.376663,0.48731,0.181495,0.915425
5,30,124,D0901,B,APW_ENG_20050916.0033,19,0.06873,0.3889,0.007426,0.04412,2,2,0,(),0.668061,-0.87366,-0.911756,0.956354
6,30,125,D0901,B,APW_ENG_20050916.0033,32,0.03924,0.1333,0,0,6,1,0,(),0.459359,0.21066,-0.188483,0.901527
7,30,126,D0901,B,APW_ENG_20050916.0033,35,0.04429,0.1406,0.002525,0.008065,6,2,0,(),0.231262,-0.0165472,-0.0900671,0.878462
8,30,127,D0901,B,APW_ENG_20050916.0033,22,0.04182,0.1932,0,0,3,0,0,(),0.256774,-0.718242,-0.759598,0.909994
9,30,128,D0901,B,APW_ENG_20050916.0033,29,0.05415,0.22,0,0,6,1,0,(),0.551814,-0.601441,-0.664072,0.917336
10,30,129,D0901,B,APW_ENG_20050916.0033,17,0.04922,0.3125,0,0,4,0,0,(),0.239689,-0.893408,-0.982555,0.926253
12,30,131,D0901,B,APW_ENG_20050916.0033,23,0.02699,0.131,0,0,4,5,0,(),0.401281,-0.505777,-0.658401,0.931348
13,30,132,D0901,B,APW_ENG_20050916.0033,17,0.0639,0.4062,0.002475,0.01667,3,2,0,(),0.621068,-0.676427,-0.318635,0.993825
14,30,133,D0901,B,APW_ENG_20050916.0033,40,0.08841,0.2368,0,0,10,4,0,(),0.386462,1.71701,0.692753,0.865054
15,30,134,D0901,B,APW_ENG_20050916.0033,43,0.05412,0.1279,0,0,14,2,0,(),0.283308,2.33848,1.22183,0.853809
16,30,135,D0901,B,APW_ENG_20050916.0033,17,0.01478,0.09375,0.005001,0.03333,2,0,0,(),0.135379,-0.641401,-0.852556,0.913776
18,30,137,D0901,B,APW_ENG_20050916.0033,28,0.03446,0.14,0,0,6,2,0,(),0.478823,-0.210103,-0.485257,0.909708
19,30,138,D0901,B,APW_ENG_20050916.0033,37,0.09096,0.2721,0.002475,0.007576,5,4,0,(),0.795699,-0.387096,-0.488317,0.894148
20,30,139,D0901,B,APW_ENG_20050916.0033,14,0.03684,0.2885,0,0,3,0,0,(),0.697169,-1.36838,-1.10997,0.971522
21,30,140,D0901,B,APW_ENG_20050916.0033,18,0.009756,0.05882,0,0,2,5,0,(),0.188009,-0.883686,-0.975535,0.926223
22,30,141,D0901,B,APW_ENG_20050916.0033,10,0.01966,0.2,0,0,2,0,0,(),0.158274,-1.20066,-1.2939,0.937568
23,30,142,D0901,B,APW_ENG_20050916.0033,44,0.1205,0.2917,0.007526,0.01829,12,1,0,(),0.43672,1.85654,0.965346,0.851562
25,30,144,D0901,B,APW_ENG_20050916.0033,41,0.09606,0.2566,0.007451,0.02027,10,3,0,(),1.0019,1.43003,1.03481,0.916372
26,30,145,D0901,B,APW_ENG_20050916.0033,22,0.03444,0.175,0,0,6,0,0,(),0.135573,0.452334,-0.160581,0.907428
27,30,146,D0901,B,APW_ENG_20050916.0033,28,0.02946,0.125,0,0,6,2,0,(),0.268192,-0.397233,-0.663531,0.884513
28,30,147,D0901,B,APW_ENG_20050916.0033,11,0.0123,0.125,0,0,3,0,0,(),0.224995,-1.28751,-1.34475,0.933333
29,30,148,D0901,B,APW_ENG_20050916.0033,12,0.02216,0.2045,0,0,3,0,0,(),0.0629557,-0.934621,-0.985452,0.938595
0,11,149,D0901,B,AFP_ENG_20050928.0242,30,0.1056,0.3583,0.02728,0.09483,9,4,0,(),1.64649,0.622526,2.8452,1.19294
1,11,150,D0901,B,AFP_ENG_20050928.0242,12,0.0541,0.4583,0.009977,0.09091,4,0,0,(),0.776806,-1.13866,-0.838589,1.07417
2,11,151,D0901,B,AFP_ENG_20050928.0242,15,0.05657,0.3833,0.01988,0.1429,3,2,0,(),1.83908,-0.874596,-0.0784572,1.16312
4,11,153,D0901,B,AFP_ENG_20050928.0242,30,0.1646,0.5776,0.05206,0.1875,6,5,0,(),2.09502,0.292425,1.53816,1.12042
5,11,154,D0901,B,AFP_ENG_20050928.0242,41,0.1158,0.3013,0.01498,0.03947,8,4,0,(),1.44654,1.13867,1.9324,1.0002
6,11,155,D0901,B,AFP_ENG_20050928.0242,39,0.09832,0.2778,0.02235,0.06429,8,6,0,(),1.34491,1.03643,1.42296,0.982109
7,11,156,D0901,B,AFP_ENG_20050928.0242,41,0.1081,0.2821,0.02483,0.06579,6,9,0,(),1.1167,1.82639,2.40507,0.978221
8,11,157,D0901,B,AFP_ENG_20050928.0242,34,0.09591,0.2955,0.01253,0.03906,7,6,0,(),0.91691,0.540186,0.772115,0.949302
9,11,158,D0901,B,AFP_ENG_20050928.0242,29,0.1009,0.3534,0.0199,0.07143,10,2,0,(),1.25796,0.560535,0.999441,1.01223
10,11,159,D0901,B,AFP_ENG_20050928.0242,34,0.1106,0.3516,0.009977,0.03226,8,2,0,(),1.19307,0.452981,1.0551,0.979336
0,12,160,D0901,B,AFP_ENG_20051003.0625,33,0.1305,0.4141,0.02513,0.08065,6,3,0,(),1.0106,0.607203,2.81828,1.11063
1,12,161,D0901,B,AFP_ENG_20051003.0625,36,0.08113,0.2426,0.002475,0.007576,9,3,0,(),1.43856,1.24784,1.28288,1.05106
2,12,162,D0901,B,AFP_ENG_20051003.0625,40,0.1059,0.2905,0.01258,0.03472,9,1,0,(),0.698173,0.314776,0.45387,0.947707
3,12,163,D0901,B,AFP_ENG_20051003.0625,31,0.07868,0.2857,0.002525,0.009259,8,2,0,(),0.705495,0.540081,0.569373,0.951571
4,12,164,D0901,B,AFP_ENG_20051003.0625,34,0.1378,0.4118,0.03228,0.09848,8,7,0,(),1.19364,1.16282,1.75583,1.01325
5,12,165,D0901,B,AFP_ENG_20051003.0625,29,0.1201,0.4224,0.03451,0.125,6,2,0,(),1.05913,0.257104,0.205421,0.974596
6,12,166,D0901,B,AFP_ENG_20051003.0625,26,0.07863,0.3077,0.007576,0.03,7,0,0,(),0.277524,0.291867,-0.261984,0.906073
7,12,167,D0901,B,AFP_ENG_20051003.0625,25,0.04669,0.19,0,0,9,0,0,(),0.379185,0.437597,0.117807,0.929811
8,12,168,D0901,B,AFP_ENG_20051003.0625,37,0.1525,0.4306,0.02973,0.08571,6,3,0,(),2.15501,0.675186,1.52336,1.06795
9,12,169,D0901,B,AFP_ENG_20051003.0625,36,0.09579,0.2955,0.005001,0.01562,10,2,0,(),1.54931,1.03272,1.65586,1.01684
10,12,170,D0901,B,AFP_ENG_20051003.0625,21,0.059,0.2857,0.00495,0.025,4,2,0,(),0.895586,-0.294866,-0.245322,0.982178
11,12,171,D0901,B,AFP_ENG_20051003.0625,30,0.1228,0.4167,0.02735,0.09483,4,10,0,(),1.28913,1.13825,2.04753,1.0396
0,43,0,D0902,B,NYT_ENG_20050317.0232,42,0.1676,0.4295,0.05981,0.1579,6,13,0,(),2.75949,1.24377,3.93658,1.29776
1,43,1,D0902,B,NYT_ENG_20050317.0232,26,0.04756,0.1979,0.0075,0.03261,3,6,0,(),0.358596,0.0128622,-0.453442,0.985192
2,43,2,D0902,B,NYT_ENG_20050317.0232,33,0.1159,0.3594,0.04319,0.1371,4,1,0,(),0.84283,0.113735,-0.221073,0.976119
3,43,3,D0902,B,NYT_ENG_20050317.0232,21,0.05761,0.2875,0,0,1,13,0,(),0.516372,0.0774069,-0.545473,0.975657
4,43,4,D0902,B,NYT_ENG_20050317.0232,26,0.1127,0.45,0.0378,0.1562,6,2,0,(),2.04373,-0.392701,0.0479435,1.11074
5,43,5,D0902,B,NYT_ENG_20050317.0232,16,0.04038,0.2667,0,0,2,1,0,(),1.16788,-1.28506,-1.00265,1.05603
7,43,7,D0902,B,NYT_ENG_20050317.0232,24,0.0862,0.3864,0.01049,0.04762,4,8,0,(),1.2245,0.0593456,0.112673,1.04262
8,43,8,D0902,B,NYT_ENG_20050317.0232,18,0.06358,0.3472,0.005495,0.02941,3,3,0,(),1.27909,-0.700425,-0.503905,1.04651
9,43,9,D0902,B,NYT_ENG_20050317.0232,12,0.04053,0.3333,0.002747,0.02273,2,1,0,(),0.814373,-1.34596,-1.10811,1.02451
11,43,11,D0902,B,NYT_ENG_20050317.0232,29,0.1157,0.3966,0.03525,0.125,7,2,0,(),2.58747,-0.360427,0.187619,1.14343
12,43,12,D0902,B,NYT_ENG_20050317.0232,9,0.02752,0.3056,0.004951,0.0625,1,1,0,(),0.742753,-1.22237,-1.09577,1.03072
13,43,13,D0902,B,NYT_ENG_20050317.0232,27,0.1253,0.463,0.03755,0.1442,7,3,0,(),2.12455,0.329497,0.676947,1.1209
14,43,14,D0902,B,NYT_ENG_20050317.0232,25,0.06819,0.3068,0.005198,0.02381,8,3,0,(),0.664532,0.121946,-0.041319,0.96381
15,43,15,D0902,B,NYT_ENG_20050317.0232,25,0.08295,0.33,0.005198,0.02083,6,1,0,(),0.810496,0.308438,-0.0644454,0.985462
16,43,16,D0902,B,NYT_ENG_20050317.0232,24,0.09362,0.3854,0.0127,0.05435,5,1,0,(),0.698201,0.144202,-0.21365,0.961865
17,43,17,D0902,B,NYT_ENG_20050317.0232,11,0.04062,0.3636,0.002747,0.025,3,1,0,(),0.391737,-1.25768,-1.19746,0.986068
