position,doc_sents,sent_id,group,set,doc_id,num_words,R1.R,R1.P,R2.R,R2.P,nouns,prpns,target,lexrank,tfisf,btfisf,scores
14,16,22,d30001,A,APW19981026.0220,36,0.1369,0.4028,0.03599,0.1071,3,14,0,1.04104,2.09369,2.31965,0.977795
15,16,23,d30001,A,APW19981026.0220,39,0.1345,0.3851,0.01686,0.04861,8,3,0,0.733515,0.971776,1.47477,0.962894
0,27,24,d30001,A,APW19981113.0251,30,0.154,0.5603,0.0484,0.1786,7,7,0,1.58686,1.50138,3.48469,1.05175
1,27,25,d30001,A,APW19981113.0251,42,0.1673,0.4437,0.05757,0.1538,10,8,0,1.94405,1.69439,1.94795,1.04418
2,27,26,d30001,A,APW19981113.0251,26,0.09881,0.42,0.0164,0.07292,6,8,0,1.90163,0.995629,1.32505,1.06778
3,27,27,d30001,A,APW19981113.0251,12,0.04271,0.375,0.009638,0.09091,4,0,0,0.0927627,-1.07693,-1.14772,0.971619
4,27,28,d30001,A,APW19981113.0251,21,0.05634,0.3333,0.006881,0.04412,1,4,0,0.317603,-0.225809,-0.244277,0.97168
5,27,29,d30001,A,APW19981113.0251,19,0.05679,0.3158,0.01192,0.06944,5,2,0,0.260546,-0.308493,-0.439,0.96965
6,27,30,d30001,A,APW19981113.0251,30,0.1256,0.4569,0.01892,0.07143,7,0,0,0.371522,-0.217335,0.1622,0.967914
7,27,31,d30001,A,APW19981113.0251,9,0.04248,0.5,0.004587,0.0625,1,1,0,0.246652,-1.42891,-1.39065,0.98185
8,27,32,d30001,A,APW19981113.0251,18,0.02896,0.1765,0.002404,0.01562,2,0,0,0.129169,-1.34595,-1.36708,0.965564
10,27,34,d30001,A,APW19981113.0251,21,0.07065,0.3947,0.002294,0.01389,3,4,0,0.561795,-0.679345,-0.671595,0.982803
11,27,35,d30001,A,APW19981113.0251,41,0.1771,0.4688,0.02673,0.07051,9,3,0,0.63633,1.29181,1.56594,0.962546
12,27,36,d30001,A,APW19981113.0251,12,0.04282,0.375,0,0,2,1,0,0.66974,-1.29048,-1.23851,0.998063
13,27,37,d30001,A,APW19981113.0251,35,0.1015,0.3162,0.009748,0.0303,7,4,0,0.649053,0.743798,0.906434,0.968582
14,27,38,d30001,A,APW19981113.0251,39,0.1458,0.4079,0.01457,0.04054,10,3,0,0.652676,1.19502,0.831323,0.958961
15,27,39,d30001,A,APW19981113.0251,33,0.106,0.3516,0.01663,0.05645,5,8,0,1.39959,1.25351,1.42988,1.00803
16,27,40,d30001,A,APW19981113.0251,32,0.1038,0.3667,0.01686,0.06034,6,3,0,0.417442,0.390903,0.490483,0.95783
17,27,41,d30001,A,APW19981113.0251,30,0.09416,0.3571,0.004587,0.01852,7,2,0,0.328599,0.47985,0.672353,0.954835
18,27,42,d30001,A,APW19981113.0251,22,0.1062,0.5114,0.009516,0.04762,3,4,0,1.42894,0.0761822,0.636647,1.02524
19,27,43,d30001,A,APW19981113.0251,37,0.1252,0.3681,0.02362,0.07143,7,4,0,1.54751,1.07313,1.21595,1.00952
20,27,44,d30001,A,APW19981113.0251,21,0.05168,0.275,0.002404,0.01316,4,4,0,0.726341,0.156021,-0.276851,0.978567
21,27,45,d30001,A,APW19981113.0251,15,0.04963,0.35,0.002294,0.01786,5,0,0,0.189216,-0.868567,-0.980611,0.961057
22,27,46,d30001,A,APW19981113.0251,15,0.07325,0.5167,0.02179,0.1607,3,1,0,0.856889,-0.60056,-0.481816,0.996582
23,27,47,d30001,A,APW19981113.0251,22,0.08472,0.4286,0.009627,0.05,7,3,0,1.31985,0.204038,0.103859,1.01038
24,27,48,d30001,A,APW19981113.0251,16,0.06111,0.4062,0.0164,0.1167,3,4,0,1.75436,-0.0794898,-0.103505,1.04122
25,27,49,d30001,A,APW19981113.0251,20,0.07302,0.4306,0.004697,0.02941,4,4,0,0.854294,-0.362901,-0.679584,0.985823
26,27,50,d30001,A,APW19981113.0251,15,0.06383,0.45,0.009748,0.07143,4,0,0,0.537882,-0.994188,-0.985234,0.977363
0,15,51,d30001,A,APW19981031.0167,30,0.1056,0.3879,0.0141,0.05357,7,3,0,0.657279,0.814136,2.41795,0.998864
1,15,52,d30001,A,APW19981031.0167,29,0.1414,0.5172,0.01686,0.0625,8,3,0,1.20008,0.120805,0.63604,1.02218
2,15,53,d30001,A,APW19981031.0167,34,0.1556,0.5156,0.02866,0.09677,8,6,0,1.62574,1.25275,1.79043,1.04321
3,15,54,d30001,A,APW19981031.0167,20,0.06145,0.3611,0,0,4,2,0,0.467682,-0.671782,-0.521435,0.982761
4,15,55,d30001,A,APW19981031.0167,12,0.03519,0.3125,0.002404,0.02273,5,0,0,0.391435,-0.750445,-0.870173,0.983273
5,15,56,d30001,A,APW19981031.0167,12,0.02113,0.225,0,0,2,0,0,0.0679102,-1.13004,-1.27495,0.965682
6,15,57,d30001,A,APW19981031.0167,25,0.09858,0.4375,0.02109,0.09783,5,5,0,1.92361,0.703329,1.03627,1.05136
7,15,58,d30001,A,APW19981031.0167,51,0.1882,0.4082,0.02833,0.0625,11,5,0,0.95929,1.34353,0.896259,0.963786
8,15,59,d30001,A,APW19981031.0167,31,0.09904,0.35,0.004697,0.01724,7,1,0,0.527175,-0.0587833,-0.368319,0.963902
9,15,60,d30001,A,APW19981031.0167,37,0.1411,0.4412,0.02833,0.09091,6,3,0,1.67808,0.372887,0.446928,1.02045
10,15,61,d30001,A,APW19981031.0167,21,0.092,0.4875,0.02374,0.1316,4,5,0,0.825891,-0.115747,0.0865202,0.991345
11,15,62,d30001,A,APW19981031.0167,11,0.0493,0.4773,0.002294,0.025,3,0,0,0.341714,-1.18187,-1.05864,0.976347
12,15,63,d30001,A,APW19981031.0167,16,0.05883,0.3906,0.004697,0.03333,3,3,0,0.528295,-0.650224,-0.597131,0.978205
13,15,64,d30001,A,APW19981031.0167,32,0.151,0.5,0.03096,0.1048,6,3,0,1.73632,0.527566,1.12106,1.02735
14,15,65,d30001,A,APW19981031.0167,23,0.08699,0.4022,0.009516,0.04545,7,3,0,1.13439,-0.0686811,0.249781,1.0021
0,18,66,d30001,A,APW19981027.0491,27,0.127,0.4821,0.01892,0.07407,7,6,0,1.45405,0.403456,1.78049,1.04636
2,18,68,d30001,A,APW19981027.0491,17,0.061,0.3611,0.0117,0.07353,2,5,0,0.113186,-0.775221,-0.922376,0.978547
3,18,69,d30001,A,APW19981027.0491,43,0.1721,0.4345,0.0212,0.05488,10,3,0,1.40573,1.16338,1.07203,1.00384
4,18,70,d30001,A,APW19981027.0491,29,0.1272,0.4655,0.01869,0.07143,7,5,0,1.37374,0.627412,0.708875,1.01827
5,18,71,d30001,A,APW19981027.0491,22,0.04736,0.2381,0,0,5,2,0,0.557949,0.0879347,-0.121266,0.978814
6,18,72,d30001,A,APW19981027.0491,35,0.1273,0.375,0.01181,0.03571,9,2,0,0.578666,0.9974,0.883259,0.964484
7,18,73,d30001,A,APW19981027.0491,27,0.1091,0.4259,0.02167,0.08654,6,3,0,1.01822,-0.39593,-0.044372,1.00318
8,18,74,d30001,A,APW19981027.0491,24,0.1061,0.5357,0.01662,0.0875,7,3,0,1.31153,0.279896,0.0742488,1.01438
9,18,75,d30001,A,APW19981027.0491,22,0.06156,0.3095,0.009516,0.05,4,4,0,1.20535,-0.220536,-0.322737,1.01191
10,18,76,d30001,A,APW19981027.0491,24,0.09212,0.4239,0.009516,0.04545,5,2,0,1.1865,-0.00800855,-0.0853184,1.0071
11,18,77,d30001,A,APW19981027.0491,31,0.06133,0.2097,0,0,9,1,0,0.177849,0.784226,0.506557,0.941982
13,18,79,d30001,A,APW19981027.0491,33,0.0921,0.3145,0.004697,0.01667,8,2,0,0.325223,0.567559,0.552468,0.948489
14,18,80,d30001,A,APW19981027.0491,24,0.08972,0.3958,0,0,3,5,0,0.545499,0.33579,0.273505,0.967667
15,18,81,d30001,A,APW19981027.0491,25,0.0778,0.33,0,0,5,3,0,0.407625,-0.39709,-0.466125,0.96108
16,18,82,d30001,A,APW19981027.0491,53,0.1655,0.3302,0.01674,0.03365,11,7,0,1.1209,3.20194,3.07729,0.958972
17,18,83,d30001,A,APW19981027.0491,21,0.04066,0.2125,0,0,4,0,0,0.107099,-0.568722,-0.634836,0.947364
0,22,84,d30001,A,APW19981116.0205,34,0.1538,0.5078,0.04815,0.1613,9,6,0,1.65033,0.886981,2.53102,1.05096
1,22,85,d30001,A,APW19981116.0205,37,0.1505,0.4444,0.03303,0.1,9,6,0,1.40705,1.55811,1.73736,1.01845
2,22,86,d30001,A,APW19981116.0205,14,0.04725,0.3571,0.009516,0.07692,3,3,0,1.80642,-0.545938,-0.430086,1.07764
3,22,87,d30001,A,APW19981116.0205,16,0.07358,0.4844,0,0,3,2,0,0.587861,-0.978005,-0.702652,0.996248
4,22,88,d30001,A,APW19981116.0205,31,0.1149,0.4083,0.01651,0.06034,9,7,0,1.7893,1.11662,1.3006,1.03983
5,22,89,d30001,A,APW19981116.0205,29,0.1395,0.5268,0.05735,0.2222,7,5,0,1.73053,0.445671,1.1408,1.04388
6,22,90,d30001,A,APW19981116.0205,30,0.07554,0.2857,0.01915,0.07407,5,4,0,1.17518,-0.21658,0.0734722,1.00978
7,22,91,d30001,A,APW19981116.0205,19,0.03556,0.2083,0.007112,0.04412,3,0,0,0.193668,-0.659234,-0.556997,0.966232
8,22,92,d30001,A,APW19981116.0205,19,0.07803,0.4342,0,0,6,2,0,0.615432,-0.49119,-0.0707866,0.990436
9,22,93,d30001,A,APW19981116.0205,23,0.04271,0.1957,0.002404,0.01136,4,5,0,0.492319,0.374325,0.086399,0.970666
11,22,95,d30001,A,APW19981116.0205,24,0.09881,0.4375,0.01434,0.06522,6,1,0,0.652869,-0.0797889,-0.00369297,0.98076
12,22,96,d30001,A,APW19981116.0205,32,0.09904,0.3387,0.02591,0.09167,6,6,0,1.2564,0.801147,0.886854,1.00221
13,22,97,d30001,A,APW19981116.0205,17,0.06122,0.3824,0.002294,0.01562,5,0,0,0.0789225,-0.748781,-0.858566,0.956302
14,22,98,d30001,A,APW19981116.0205,9,0.009426,0.125,0,0,1,2,0,0.104712,-1.19892,-1.32841,0.9656
15,22,99,d30001,A,APW19981116.0205,14,0.04021,0.3036,0,0,1,0,0,0.0733412,-1.53493,-1.51375,0.960468
16,22,100,d30001,A,APW19981116.0205,8,0.02363,0.3125,0,0,1,0,0,0.0943494,-1.53776,-1.59139,0.965902
17,22,101,d30001,A,APW19981116.0205,25,0.09132,0.4432,0.01158,0.05952,6,3,0,1.08402,0.0159819,-0.151858,0.996025
18,22,102,d30001,A,APW19981116.0205,30,0.1295,0.4911,0.03106,0.1204,6,6,0,1.72572,0.560601,0.941893,1.02831
19,22,103,d30001,A,APW19981116.0205,38,0.1607,0.4722,0.02407,0.07143,6,8,0,1.62888,1.20762,1.63811,1.01228
20,22,104,d30001,A,APW19981116.0205,34,0.1254,0.3897,0.02419,0.07576,6,8,0,1.74674,0.722401,0.750346,1.02054
21,22,105,d30001,A,APW19981116.0205,35,0.08358,0.2574,0.0219,0.06818,9,3,0,0.982242,0.411553,0.424895,0.977938
0,20,106,d30001,A,APW19981118.0276,36,0.1841,0.5571,0.04312,0.1324,7,2,0,1.16588,0.439117,1.83585,1.0204
1,20,107,d30001,A,APW19981118.0276,47,0.2197,0.5054,0.03853,0.08889,9,8,0,1.9463,1.88837,2.04487,1.03721
2,20,108,d30001,A,APW19981118.0276,19,0.07825,0.4342,0.007223,0.04167,4,2,0,1.01968,-0.671593,-0.564584,1.02768
3,20,109,d30001,A,APW19981118.0276,30,0.1229,0.4643,0.04332,0.1667,6,5,0,1.57817,0.376424,1.0495,1.03565
4,20,110,d30001,A,APW19981118.0276,38,0.1791,0.5135,0.02866,0.08333,9,8,0,1.57168,1.11584,2.01403,1.02614
5,20,111,d30001,A,APW19981118.0276,18,0.08247,0.5147,0.009638,0.0625,4,3,0,0.660292,-0.654521,-0.577491,0.993659
6,20,112,d30001,A,APW19981118.0276,11,0.04259,0.4091,0.007223,0.075,1,3,0,0.774208,-1.09465,-1.12192,1.0062
7,20,113,d30001,A,APW19981118.0276,29,0.1063,0.3879,0.02878,0.1071,6,5,0,1.66231,0.443262,0.562168,1.0328
8,20,114,d30001,A,APW19981118.0276,35,0.1511,0.4848,0.02397,0.07812,6,2,0,0.701026,-0.638185,-0.522515,0.976989
9,20,115,d30001,A,APW19981118.0276,25,0.05202,0.2292,0,0,4,0,0,0.0934236,-0.116509,-0.48836,0.947647
10,20,116,d30001,A,APW19981118.0276,15,0.06133,0.4333,0.009516,0.07143,1,5,0,1.12794,-0.631123,-0.595365,1.017
11,20,117,d30001,A,APW19981118.0276,32,0.1369,0.4677,0.0164,0.05833,7,3,0,1.11524,0.56216,0.865862,0.99677
12,20,118,d30001,A,APW19981118.0276,38,0.2008,0.5743,0.0788,0.2292,6,11,1,2.7782,1.37474,2.60494,1.08948
13,20,119,d30001,A,APW19981118.0276,15,0.06827,0.4833,0.002294,0.01786,5,0,0,0.538213,-0.757777,-0.657819,0.983016
14,20,120,d30001,A,APW19981118.0276,17,0.07077,0.4412,0.01663,0.1094,4,3,0,1.60891,-0.275523,-0.0261575,1.0386
16,20,122,d30001,A,APW19981118.0276,17,0.07541,0.4706,0.002294,0.01562,6,0,0,0.217553,-0.724552,-0.844001,0.959822
17,20,123,d30001,A,APW19981118.0276,20,0.05894,0.3289,0.01181,0.06944,3,3,0,1.36023,-0.687015,-0.457476,1.02006
18,20,124,d30001,A,APW19981118.0276,32,0.08087,0.2833,0.005051,0.01724,5,2,0,0.311147,0.576191,0.535483,0.944953
19,20,125,d30001,A,APW19981118.0276,19,0.03737,0.2105,0,0,5,2,0,0.174847,-0.0608596,-0.445171,0.948873
0,24,126,d30001,A,APW19981022.0269,32,0.149,0.5081,0.02695,0.09167,7,4,0,0.893936,0.837396,2.45405,1.00997
1,24,127,d30001,A,APW19981022.0269,28,0.1227,0.4815,0.0141,0.05769,8,2,0,1.61762,0.400211,1.23117,1.04854
2,24,128,d30001,A,APW19981022.0269,55,0.1584,0.335,0.01937,0.04082,11,9,0,1.10346,2.32991,2.83725,0.990807
3,24,129,d30001,A,APW19981022.0269,8,0.03078,0.4062,0.007112,0.1071,2,1,0,0.0723852,-1.41533,-1.49637,0.975133
4,24,130,d30001,A,APW19981022.0269,34,0.1393,0.447,0.01204,0.03906,9,0,0,0.577321,0.220252,0.504456,0.973914
5,24,131,d30001,A,APW19981022.0269,28,0.1509,0.5714,0.04324,0.1667,9,3,0,1.57687,0.274704,0.73817,1.03534
6,24,132,d30001,A,APW19981022.0269,35,0.1247,0.3897,0.01892,0.06061,6,5,0,1.17195,0.705005,0.543724,0.998338
7,24,133,d30001,A,APW19981022.0269,32,0.1413,0.4839,0.0383,0.1333,7,3,0,1.8947,-0.170408,0.169013,1.04801
8,24,134,d30001,A,APW19981022.0269,32,0.1367,0.4531,0.02821,0.09677,8,6,0,1.72176,1.07488,1.23827,1.0318
9,24,135,d30001,A,APW19981022.0269,10,0.02601,0.275,0,0,2,0,0,0.148776,-1.16304,-1.30056,0.971284
10,24,136,d30001,A,APW19981022.0269,21,0.1063,0.5357,0.02614,0.1375,4,2,0,1.6005,-0.481137,-0.157302,1.04069
11,24,137,d30001,A,APW19981022.0269,17,0.07767,0.4853,0.01662,0.1094,3,4,0,1.18217,-0.312193,-0.199716,1.01834
12,24,138,d30001,A,APW19981022.0269,45,0.1936,0.4659,0.0399,0.09884,10,6,0,1.73185,1.85712,2.50672,1.01736
13,24,139,d30001,A,APW19981022.0269,21,0.08961,0.475,0.01914,0.1053,4,2,0,1.40262,-0.379505,0.170431,1.02865
14,24,140,d30001,A,APW19981022.0269,21,0.06826,0.3452,0.002294,0.0125,5,1,0,0.454165,-0.540357,-0.358464,0.973945
15,24,141,d30001,A,APW19981022.0269,17,0.07519,0.4706,0.0141,0.09375,3,3,0,1.50841,-0.525736,-0.323233,1.03479
16,24,142,d30001,A,APW19981022.0269,31,0.08018,0.2931,0.01663,0.0625,5,5,0,1.09719,0.254816,0.172783,0.992734
17,24,143,d30001,A,APW19981022.0269,18,0.05429,0.3194,0,0,3,2,0,0.198996,-0.224384,-0.327397,0.957723
18,24,144,d30001,A,APW19981022.0269,17,0.03998,0.25,0,0,5,1,0,0.107398,-0.38547,-0.6971,0.952313
19,24,145,d30001,A,APW19981022.0269,16,0.02363,0.1667,0,0,3,0,0,0.0682139,-1.17311,-1.30838,0.954189
20,24,146,d30001,A,APW19981022.0269,19,0.06633,0.3889,0.002525,0.01471,5,3,0,0.377817,-0.302038,-0.632348,0.962881
21,24,147,d30001,A,APW19981022.0269,9,0.04021,0.4722,0.009516,0.125,2,2,0,1.51257,-1.13874,-1.03535,1.03968
22,24,148,d30001,A,APW19981022.0269,31,0.0778,0.275,0,0,8,0,0,0.197551,0.174244,-0.0668411,0.939827
23,24,149,d30001,A,APW19981022.0269,21,0.08268,0.4605,0.01903,0.1111,6,2,0,1.2935,-0.0265842,0.211313,1.01123
1,12,151,d30001,A,APW19981120.0274,26,0.1198,0.51,0.01892,0.08333,9,3,0,1.20389,0.0910606,0.709671,1.02622
2,12,152,d30001,A,APW19981120.0274,49,0.1928,0.4362,0.03772,0.08696,8,11,0,2.18492,1.98948,2.14703,1.05367
3,12,153,d30001,A,APW19981120.0274,37,0.1679,0.4931,0.0383,0.1143,6,8,0,1.90717,1.03411,1.19783,1.03887
4,12,154,d30001,A,APW19981120.0274,25,0.1068,0.45,0.0265,0.1146,6,5,0,1.73749,0.351572,0.474554,1.04183
5,12,155,d30001,A,APW19981120.0274,17,0.07064,0.5,0.0117,0.08929,5,0,0,0.41588,-0.625159,-0.773354,0.976361
6,12,156,d30001,A,APW19981120.0274,31,0.1322,0.4667,0.01948,0.06897,6,7,0,1.19537,0.932789,1.33985,1.00292
7,12,157,d30001,A,APW19981120.0274,28,0.1319,0.5385,0.03326,0.14,7,4,0,1.83257,0.535442,0.903597,1.04066
8,12,158,d30001,A,APW19981120.0274,15,0.09905,0.7,0.05024,0.375,3,5,1,1.88968,-0.647031,-0.239242,1.06026
9,12,159,d30001,A,APW19981120.0274,29,0.1344,0.5089,0.01204,0.0463,7,1,0,0.555679,-0.0310985,0.0421341,0.966286
10,12,160,d30001,A,APW19981120.0274,31,0.1018,0.3707,0.0141,0.05357,5,5,0,1.46595,0.325746,0.5146,1.01164
11,12,161,d30001,A,APW19981120.0274,37,0.1114,0.3456,0.02397,0.07576,4,6,0,0.995415,0.735174,0.59104,0.974703
0,17,162,d30001,A,APW19981016.0240,26,0.127,0.5625,0.03553,0.163,7,3,0,1.45552,0.508407,1.9434,1.04708
1,17,163,d30001,A,APW19981016.0240,37,0.1932,0.5541,0.04804,0.1389,13,5,0,2.03369,1.26057,2.48295,1.06389
2,17,164,d30001,A,APW19981016.0240,44,0.2005,0.506,0.05698,0.1463,9,10,0,2.02772,2.08111,2.95556,1.05645
4,17,166,d30001,A,APW19981016.0240,33,0.1086,0.3594,0.009516,0.03226,4,6,0,1.27884,0.559789,0.962294,1.01132
6,17,168,d30001,A,APW19981016.0240,11,0.04475,0.475,0.002294,0.02778,1,1,0,0.382754,-1.37123,-1.31495,0.985421
7,17,169,d30001,A,APW19981016.0240,33,0.1365,0.4531,0.03842,0.129,5,6,0,1.89855,0.171222,0.481584,1.04348
8,17,170,d30001,A,APW19981016.0240,19,0.08473,0.4737,0.02339,0.1389,3,5,0,2.03842,-0.216221,-0.174194,1.0637
9,17,171,d30001,A,APW19981016.0240,27,0.09427,0.3704,0.01422,0.05769,7,0,0,0.513433,-0.0159711,-0.045745,0.968909
10,17,172,d30001,A,APW19981016.0240,24,0.09666,0.4271,0.01674,0.07609,4,3,0,1.34938,-0.522581,-0.160547,1.02094
11,17,173,d30001,A,APW19981016.0240,18,0.05689,0.3333,0.01662,0.1029,2,4,0,1.17882,-0.409856,-0.275513,1.01402
12,17,174,d30001,A,APW19981016.0240,27,0.09404,0.3704,0.02109,0.08654,8,7,0,1.69848,0.483568,0.333482,1.02837
13,17,175,d30001,A,APW19981016.0240,27,0.111,0.4519,0.03073,0.13,7,4,0,2.0154,-0.00670356,0.0895757,1.04844
14,17,176,d30001,A,APW19981016.0240,27,0.1158,0.49,0.01926,0.08333,4,6,0,1.66215,0.274647,0.60369,1.02805
15,17,177,d30001,A,APW19981016.0240,23,0.07325,0.3875,0.002294,0.01316,5,1,0,0.711717,-0.486865,-0.233329,0.980686
16,17,178,d30001,A,APW19981016.0240,20,0.06596,0.35,0.007101,0.03947,4,0,0,0.364559,-0.419694,-0.225637,0.963176
0,2,0,d30002,A,APW19981102.0737,35,0.09622,0.2917,0.01191,0.03571,7,7,0,1.07139,0.789753,2.3801,1.01416
1,2,1,d30002,A,APW19981102.0737,16,0.04116,0.3,0.004485,0.03571,3,1,0,0.822635,-0.97675,-0.707172,1.00405
0,36,2,d30002,A,APW19981029.0570,26,0.08437,0.37,0.0182,0.08333,7,4,0,2.17205,0.499713,1.9299,1.08549
1,36,3,d30002,A,APW19981029.0570,17,0.05265,0.3382,0.009157,0.0625,3,0,0,1.34933,-0.715201,-0.453811,1.03993
2,36,4,d30002,A,APW19981029.0570,29,0.0708,0.2981,0.009287,0.04,6,1,0,1.45555,0.382287,0.774697,1.03794
3,36,5,d30002,A,APW19981029.0570,10,0.01134,0.125,0,0,3,0,0,0.207037,-0.879739,-0.848099,0.976756
4,36,6,d30002,A,APW19981029.0570,41,0.08473,0.2372,0.00463,0.01316,10,3,0,1.30626,0.944227,1.54529,1.00474
5,36,7,d30002,A,APW19981029.0570,41,0.1282,0.3415,0.03028,0.08125,7,6,0,1.84567,0.992679,1.35043,1.03193
6,36,8,d30002,A,APW19981029.0570,24,0.06802,0.3261,0.002273,0.01136,9,0,0,1.34505,0.266705,0.771481,1.02388
7,36,9,d30002,A,APW19981029.0570,27,0.1005,0.44,0.007057,0.03125,7,3,0,2.02223,0.0158998,0.413547,1.05888
8,36,10,d30002,A,APW19981029.0570,24,0.06196,0.3214,0.007282,0.0375,6,4,0,1.67738,-0.0795763,0.215613,1.04129
10,36,12,d30002,A,APW19981029.0570,23,0.05254,0.2614,0.0068,0.03571,4,1,0,1.47924,-0.324535,0.160446,1.03163
11,36,13,d30002,A,APW19981029.0570,9,0.0138,0.1667,0,0,2,0,0,1.50901,-1.57123,-1.54408,1.04761
12,36,14,d30002,A,APW19981029.0570,30,0.1031,0.375,0.01177,0.0431,4,2,0,1.48611,-0.134865,0.134735,1.02159
13,36,15,d30002,A,APW19981029.0570,19,0.03908,0.25,0,0,1,4,0,0.458005,-0.524824,-0.601755,0.974653
15,36,17,d30002,A,APW19981029.0570,25,0.03648,0.1739,0.002315,0.01136,8,1,0,1.25873,-0.0482313,-0.085017,1.01025
16,36,18,d30002,A,APW19981029.0570,24,0.05041,0.2391,0.002427,0.01136,5,6,0,0.682205,0.3666,0.0375186,0.976135
17,36,19,d30002,A,APW19981029.0570,28,0.05473,0.2308,0,0,8,4,0,1.3533,0.795094,1.02069,1.01092
18,36,20,d30002,A,APW19981029.0570,13,0.03402,0.3125,0,0,5,0,0,0.436914,-1.09888,-1.14121,0.979173
19,36,21,d30002,A,APW19981029.0570,36,0.07787,0.2429,0,0,13,0,0,0.421883,1.26202,0.663097,0.944805
20,36,22,d30002,A,APW19981029.0570,21,0.04107,0.2143,0.002212,0.0125,7,2,0,0.636246,0.226548,0.0715953,0.976085
21,36,23,d30002,A,APW19981029.0570,12,0.02743,0.25,0,0,4,0,0,0.218086,-1.46492,-1.53486,0.967992
22,36,24,d30002,A,APW19981029.0570,10,0.02047,0.225,0,0,4,0,0,0.479591,-0.741021,-0.595499,0.982321
23,36,25,d30002,A,APW19981029.0570,19,0.03224,0.1842,0,0,8,0,0,0.365799,-0.00052433,-0.325066,0.961603
24,36,26,d30002,A,APW19981029.0570,28,0.06427,0.2692,0.004742,0.02,5,4,0,0.568625,0.195432,0.183896,0.965048
25,36,27,d30002,A,APW19981029.0570,17,0.05266,0.3594,0,0,5,0,0,0.35211,-0.685937,-0.857011,0.964895
26,36,28,d30002,A,APW19981029.0570,10,0.02298,0.25,0,0,3,2,0,0.126046,-1.07769,-1.23433,0.960732
27,36,29,d30002,A,APW19981029.0570,38,0.1326,0.4028,0.01423,0.04286,11,5,0,1.82815,1.30491,1.59102,1.02125
28,36,30,d30002,A,APW19981029.0570,20,0.02523,0.1447,0,0,6,1,0,0.653736,-0.381674,-0.463572,0.976398
29,36,31,d30002,A,APW19981029.0570,23,0.03418,0.163,0,0,3,6,0,0.363063,0.0692534,-0.344191,0.953998
30,36,32,d30002,A,APW19981029.0570,19,0.02739,0.1765,0,0,3,1,0,0.214769,-0.569339,-0.839799,0.95205
31,36,33,d30002,A,APW19981029.0570,14,0.01139,0.09615,0,0,2,0,0,0.300257,-1.19897,-1.32845,0.963696
32,36,34,d30002,A,APW19981029.0570,21,0.03204,0.1944,0.002427,0.01471,1,5,0,0.308527,-0.3782,-0.508271,0.954792
